name
Goblet
Box step up
Bent over row
Cable palof rotations
Suitcase carry
Hip thrusters
Walking lunges
Seated flexing rows
Roman chair 30s holds
Cable chop
Renegade rows
Kneeling single arm shoulder press
Goblet split squat
