name
Bent over row
Box step up
Cable chop
Cable palof rotations
Goblet
Goblet split squat
Hip thrusters
Kneeling single arm shoulder press
Renegade rows
Roman chair 30s holds
Seated flexing rows
Suitcase carry
Walking lunges
